date,bitcoins
2013-10-12,5
2013-10-13,5
2013-10-14,5
2013-10-15,7
2013-10-16,7
2013-10-17,7
2013-10-18,5
2013-10-19,7
2013-10-20,6
2013-10-21,5
2013-10-22,6
2013-10-23,7
2013-10-24,6
2013-10-25,7
2013-10-26,10
2013-10-27,9
2013-10-28,8
2013-10-29,26
2013-10-30,46
2013-10-31,23
2013-11-01,18
2013-11-02,11
2013-11-03,11
2013-11-04,16
2013-11-05,18
2013-11-06,17
2013-11-07,21
2013-11-08,22
2013-11-09,16
2013-11-10,17
2013-11-11,13
2013-11-12,14
2013-11-13,20
2013-11-14,20
2013-11-15,22
2013-11-16,17
2013-11-17,21
2013-11-18,39
2013-11-19,59
2013-11-20,40
2013-11-21,28
2013-11-22,38
2013-11-23,28
2013-11-24,19
2013-11-25,30
2013-11-26,24
2013-11-27,50
2013-11-28,100
2013-11-29,79
2013-11-30,60
2013-12-01,47
2013-12-02,47
2013-12-03,42
2013-12-04,36
2013-12-05,49
2013-12-06,48
2013-12-07,39
2013-12-08,31
2013-12-09,30
2013-12-10,26
2013-12-11,24
2013-12-12,26
2013-12-13,27
2013-12-14,25
2013-12-15,29
2013-12-16,29
2013-12-17,22
2013-12-18,36
2013-12-19,26
2013-12-20,21
2013-12-21,18
2013-12-22,23
2013-12-23,16
2013-12-24,17
2013-12-25,17
2013-12-26,15
2013-12-27,17
2013-12-28,17
2013-12-29,14
2013-12-30,14
2013-12-31,14
2014-01-01,12
2014-01-02,47
2014-01-03,45
2014-01-04,56
2014-01-05,46
2014-01-06,59
2014-01-07,51
2014-01-08,60
2014-01-09,65
2014-01-10,65
2014-01-11,54
2014-01-12,42
2014-01-13,51
2014-01-14,47
2014-01-15,52
2014-01-16,59
2014-01-17,76
2014-01-18,60
2014-01-19,39
2014-01-20,57
2014-01-21,54
2014-01-22,62
2014-01-23,53
2014-01-24,46
2014-01-25,52
2014-01-26,39
2014-01-27,60
2014-01-28,60
2014-01-29,47
2014-01-30,40
2014-01-31,50
2014-02-01,42
2014-02-02,33
2014-02-03,41
2014-02-04,46
2014-02-05,38
2014-02-06,43
2014-02-07,47
2014-02-08,37
2014-02-09,42
2014-02-10,49
2014-02-11,45
2014-02-12,46
2014-02-13,41
2014-02-14,58
2014-02-15,48
2014-02-16,36
2014-02-17,33
2014-02-18,45
2014-02-19,50
2014-02-20,43
2014-02-21,42
2014-02-22,37
2014-02-23,33
2014-02-24,81
2014-02-25,100
2014-02-26,74
2014-02-27,59
2014-02-28,75
2014-03-01,51
2014-03-02,41
2014-03-03,48
2014-03-04,46
2014-03-05,36
2014-03-06,61
2014-03-07,70
2014-03-08,39
2014-03-09,27
2014-03-10,38
2014-03-11,43
2014-03-12,31
2014-03-13,24
2014-03-14,38
2014-03-15,34
2014-03-16,29
2014-03-17,26
2014-03-18,21
2014-03-19,24
2014-03-20,23
2014-03-21,42
2014-03-22,28
2014-03-23,23
2014-03-24,24
2014-03-25,23
2014-03-26,32
2014-03-27,32
2014-03-28,30
2014-03-29,21
2014-03-30,18
2014-03-31,29
2014-04-01,19
2014-04-02,21
2014-04-03,28
2014-04-04,19
2014-04-05,22
2014-04-06,20
2014-04-07,20
2014-04-08,15
2014-04-09,30
2014-04-10,36
2014-04-11,18
2014-04-12,18
2014-04-13,19
2014-04-14,24
2014-04-15,19
2014-04-16,23
2014-04-17,23
2014-04-18,18
2014-04-19,17
2014-04-20,15
2014-04-21,20
2014-04-22,22
2014-04-23,15
2014-04-24,22
2014-04-25,19
2014-04-26,14
2014-04-27,22
2014-04-28,17
2014-04-29,19
2014-04-30,23
2014-05-01,22
2014-05-02,23
2014-05-03,15
2014-05-04,20
2014-05-05,20
2014-05-06,19
2014-05-07,23
2014-05-08,13
2014-05-09,22
2014-05-10,19
2014-05-11,14
2014-05-12,18
2014-05-13,19
2014-05-14,12
2014-05-15,18
2014-05-16,18
2014-05-17,21
2014-05-18,17
2014-05-19,21
2014-05-20,13
2014-05-21,17
2014-05-22,25
2014-05-23,18
2014-05-24,12
2014-05-25,22
2014-05-26,19
2014-05-27,28
2014-05-28,22
2014-05-29,20
2014-05-30,26
2014-05-31,16
2014-06-01,8
2014-06-02,21
2014-06-03,17
2014-06-04,17
2014-06-05,22
2014-06-06,22
2014-06-07,18
2014-06-08,17
2014-06-09,16
2014-06-10,21
2014-06-11,18
2014-06-12,27
2014-06-13,30
2014-06-14,21
2014-06-15,9
2014-06-16,20
2014-06-17,21
2014-06-18,14
2014-06-19,21
2014-06-20,11
2014-06-21,19
2014-06-22,14
2014-06-23,16
