Date,bitcoins
4/7/2014,20
4/8/2014,15
4/9/2014,30
4/10/2014,36
4/11/2014,18
4/12/2014,18
4/13/2014,19
4/14/2014,24
4/15/2014,19
4/16/2014,23
4/17/2014,23
4/18/2014,18
4/19/2014,17
4/20/2014,15
4/21/2014,20
4/22/2014,22
4/23/2014,15
4/24/2014,22
4/25/2014,19
4/26/2014,14
4/27/2014,22
4/28/2014,17
4/29/2014,19
4/30/2014,23
5/1/2014,22
5/2/2014,23
5/3/2014,15
5/4/2014,20
5/5/2014,20
5/6/2014,19
5/7/2014,23
5/8/2014,13
5/9/2014,22
5/10/2014,19
5/11/2014,14
5/12/2014,18
5/13/2014,19
5/14/2014,12
5/15/2014,18
5/16/2014,18
5/17/2014,21
5/18/2014,17
5/19/2014,21
5/20/2014,13
5/21/2014,17
5/22/2014,25
5/23/2014,18
5/24/2014,12
5/25/2014,22
5/26/2014,19
5/27/2014,28
5/28/2014,22
5/29/2014,20
5/30/2014,26
5/31/2014,16
6/1/2014,8
6/2/2014,21
6/3/2014,17
6/4/2014,17
6/5/2014,22
6/6/2014,22
6/7/2014,18
6/8/2014,17
6/9/2014,16
6/10/2014,21
6/11/2014,18
6/12/2014,27
6/13/2014,30
6/14/2014,21
6/15/2014,9
6/16/2014,20
6/17/2014,21
6/18/2014,14
6/19/2014,21
6/20/2014,11
6/21/2014,19
6/22/2014,14
6/23/2014,16
6/24/2014,14
6/25/2014,11
6/26/2014,12
6/27/2014,23
6/28/2014,30
6/29/2014,16
6/30/2014,15
7/1/2014,14
7/2/2014,25
7/3/2014,21
7/4/2014,13
7/5/2014,17
7/6/2014,13
7/7/2014,16
7/8/2014,10
7/9/2014,15
7/10/2014,15
7/11/2014,20
7/12/2014,17
7/13/2014,15
7/14/2014,12
7/15/2014,26
7/16/2014,19
7/17/2014,21
7/18/2014,12
7/19/2014,17
7/20/2014,19
7/21/2014,19
7/22/2014,21
7/23/2014,16
7/24/2014,13
7/25/2014,21
7/26/2014,14
7/27/2014,21
7/28/2014,17
7/29/2014,19
7/30/2014,22
7/31/2014,22
8/1/2014,17
8/2/2014,16
8/3/2014,19
8/4/2014,18
8/5/2014,15
8/6/2014,16
8/7/2014,18
8/8/2014,20
8/9/2014,17
8/10/2014,16
8/11/2014,22
8/12/2014,16
8/13/2014,30
8/14/2014,27
8/15/2014,23
8/16/2014,15
8/17/2014,19
8/18/2014,14
8/19/2014,19
8/20/2014,20
8/21/2014,19
8/22/2014,22
8/23/2014,17
8/24/2014,18
8/25/2014,14
8/26/2014,16
8/27/2014,18
8/28/2014,15
8/29/2014,16
8/30/2014,12
8/31/2014,16
9/1/2014,19
9/2/2014,90
9/3/2014,82
9/4/2014,52
9/5/2014,84
9/6/2014,85
9/7/2014,81
9/8/2014,44
9/9/2014,60
9/10/2014,71
9/11/2014,52
9/12/2014,49
9/13/2014,57
9/14/2014,69
9/15/2014,44
9/16/2014,51
9/17/2014,49
9/18/2014,54
9/19/2014,68
9/20/2014,45
9/21/2014,65
9/22/2014,61
9/23/2014,60
9/24/2014,49
9/25/2014,52
9/26/2014,61
9/27/2014,53
9/28/2014,82
9/29/2014,55
9/30/2014,65
10/1/2014,58
10/2/2014,54
10/3/2014,60
10/4/2014,56
10/5/2014,66
10/6/2014,76
10/7/2014,66
10/8/2014,83
10/9/2014,98
10/10/2014,58
10/11/2014,41
10/12/2014,72
10/13/2014,67
10/14/2014,61
10/15/2014,64
10/16/2014,92
10/17/2014,50
10/18/2014,63
10/19/2014,47
10/20/2014,70
10/21/2014,77
10/22/2014,61
10/23/2014,42
10/24/2014,50
10/25/2014,61
10/26/2014,45
10/27/2014,36
10/28/2014,49
10/29/2014,60
10/30/2014,78
10/31/2014,58
11/1/2014,55
11/2/2014,29
11/3/2014,61
11/4/2014,60
11/5/2014,65
11/6/2014,65
11/7/2014,54
11/8/2014,48
11/9/2014,71
11/10/2014,47
11/11/2014,73
11/12/2014,65
11/13/2014,71
11/14/2014,51
11/15/2014,39
11/16/2014,60
11/17/2014,64
11/18/2014,63
11/19/2014,65
11/20/2014,74
11/21/2014,70
11/22/2014,42
11/23/2014,71
11/24/2014,44
11/25/2014,48
11/26/2014,45
11/27/2014,77
11/28/2014,38
11/29/2014,34
11/30/2014,39
12/1/2014,48
12/2/2014,50
12/3/2014,52
12/4/2014,52
12/5/2014,42
12/6/2014,32
12/7/2014,21
12/8/2014,49
12/9/2014,54
12/10/2014,42
12/11/2014,75
12/12/2014,61
12/13/2014,46
12/14/2014,74
12/15/2014,44
12/16/2014,67
12/17/2014,57
12/18/2014,45
12/19/2014,49
12/20/2014,49
12/21/2014,52
12/22/2014,57
12/23/2014,52
12/24/2014,55
12/25/2014,27
12/26/2014,39
12/27/2014,73
12/28/2014,67
12/29/2014,52
12/30/2014,36
12/31/2014,53
1/1/2015,45
1/2/2015,45
1/3/2015,67
1/4/2015,48
1/5/2015,55
1/6/2015,86
1/7/2015,80
1/8/2015,61
1/9/2015,78
1/10/2015,58
1/11/2015,72
1/12/2015,56
1/13/2015,55
1/14/2015,65
1/15/2015,82
1/16/2015,97
1/17/2015,74
1/18/2015,37
1/19/2015,66
1/20/2015,46
1/21/2015,48
1/22/2015,49
1/23/2015,51
1/24/2015,50
1/25/2015,62
1/26/2015,49
1/27/2015,82
1/28/2015,50
1/29/2015,55
1/30/2015,46
1/31/2015,37
2/1/2015,46
2/2/2015,42
2/3/2015,44
2/4/2015,60
2/5/2015,72
2/6/2015,55
2/7/2015,53
2/8/2015,88
2/9/2015,50
2/10/2015,80
2/11/2015,78
2/12/2015,64
2/13/2015,57
2/14/2015,63
2/15/2015,45
2/16/2015,59
2/17/2015,57
2/18/2015,41
2/19/2015,87
2/20/2015,83
2/21/2015,62
2/22/2015,49
2/23/2015,52
2/24/2015,64
2/25/2015,49
2/26/2015,51
2/27/2015,45
2/28/2015,47
3/1/2015,48
3/2/2015,79
3/3/2015,82
3/4/2015,50
3/5/2015,53
3/6/2015,77
3/7/2015,100
3/8/2015,65
3/9/2015,58
3/10/2015,39
3/11/2015,46
3/12/2015,45
3/13/2015,75
3/14/2015,71
3/15/2015,65
3/16/2015,67
3/17/2015,53
3/18/2015,56
3/19/2015,93
3/20/2015,50
3/21/2015,54
3/22/2015,59
3/23/2015,56
3/24/2015,54
3/25/2015,62
3/26/2015,63
3/27/2015,51
3/28/2015,29
3/29/2015,48
3/30/2015,44
3/31/2015,55
4/1/2015,41
4/2/2015,40
4/3/2015,43
4/4/2015,39
4/5/2015,52
4/6/2015,40
4/7/2015,64
4/8/2015,59
4/9/2015,57
4/10/2015,40
4/11/2015,33
4/12/2015,50
4/13/2015,40
4/14/2015,54
4/15/2015,63
4/16/2015,61
4/17/2015,44
4/18/2015,43
4/19/2015,40
4/20/2015,43
4/21/2015,59
4/22/2015,73
4/23/2015,46
4/24/2015,50
4/25/2015,49
4/26/2015,62
4/27/2015,33
4/28/2015,54
4/29/2015,48
4/30/2015,52
5/1/2015,42
1/2/2016,52
1/3/2016,44
1/4/2016,39
1/5/2016,43
1/6/2016,54
1/7/2016,50
1/8/2016,36
1/9/2016,32
1/10/2016,54
1/11/2016,50
1/12/2016,36
1/13/2016,34
1/14/2016,39
1/15/2016,39
1/16/2016,44
1/17/2016,27
1/18/2016,31
1/19/2016,56
1/20/2016,50
1/21/2016,48
1/22/2016,36
1/23/2016,46
1/24/2016,51
1/25/2016,41
1/26/2016,46
1/27/2016,38
1/28/2016,45
1/29/2016,32
1/30/2016,35
1/31/2016,44
2/1/2016,45
2/2/2016,37
2/3/2016,30
2/4/2016,43
2/5/2016,33
2/6/2016,44
2/7/2016,35
2/8/2016,35
2/9/2016,31
2/10/2016,44
2/11/2016,27
2/12/2016,51
2/13/2016,49
